Ward,Neighbourhood Number,Neighbourhood Name,Age,Female,Male,Other
WARD 1,3140,CRESTWOOD,0,8,8,0
WARD 1,3140,CRESTWOOD,1,11,2,0
WARD 1,3140,CRESTWOOD,2,9,4,0
WARD 1,3140,CRESTWOOD,3,7,6,0
WARD 1,3140,CRESTWOOD,4,10,3,0
WARD 1,3140,CRESTWOOD,5,6,10,0
WARD 1,3140,CRESTWOOD,6,7,2,0
WARD 1,3140,CRESTWOOD,7,9,10,0
WARD 1,3140,CRESTWOOD,8,6,18,0
WARD 1,3140,CRESTWOOD,9,8,7,0
WARD 1,3140,CRESTWOOD,10,9,8,0
WARD 1,3140,CRESTWOOD,11,17,9,0
WARD 1,3140,CRESTWOOD,12,6,14,0
WARD 1,3140,CRESTWOOD,13,10,10,0
WARD 1,3140,CRESTWOOD,14,6,8,0
WARD 1,3140,CRESTWOOD,15,12,6,0
WARD 1,3140,CRESTWOOD,16,10,11,0
WARD 1,3140,CRESTWOOD,17,8,13,0
WARD 1,3140,CRESTWOOD,18,7,11,0
WARD 1,3140,CRESTWOOD,19,14,7,0
WARD 1,3140,CRESTWOOD,20,6,8,0
WARD 1,3140,CRESTWOOD,21,8,10,0
WARD 1,3140,CRESTWOOD,22,6,10,0
WARD 1,3140,CRESTWOOD,23,10,10,0
WARD 1,3140,CRESTWOOD,24,3,5,0
WARD 1,3140,CRESTWOOD,25,6,11,0
WARD 1,3140,CRESTWOOD,26,2,6,0
WARD 1,3140,CRESTWOOD,27,7,5,0
WARD 1,3140,CRESTWOOD,28,9,9,0
WARD 1,3140,CRESTWOOD,29,3,4,0
WARD 1,3140,CRESTWOOD,30,3,2,0
WARD 1,3140,CRESTWOOD,31,7,6,0
WARD 1,3140,CRESTWOOD,32,8,6,0
WARD 1,3140,CRESTWOOD,33,9,6,0
WARD 1,3140,CRESTWOOD,34,7,5,0
WARD 1,3140,CRESTWOOD,35,3,6,0
WARD 1,3140,CRESTWOOD,36,6,5,0
WARD 1,3140,CRESTWOOD,37,5,8,0
WARD 1,3140,CRESTWOOD,38,12,9,0
WARD 1,3140,CRESTWOOD,39,9,11,0
WARD 1,3140,CRESTWOOD,40,8,7,0
WARD 1,3140,CRESTWOOD,41,8,8,0
WARD 1,3140,CRESTWOOD,42,10,6,0
WARD 1,3140,CRESTWOOD,43,8,8,0
WARD 1,3140,CRESTWOOD,44,12,2,0
WARD 1,3140,CRESTWOOD,45,11,11,0
WARD 1,3140,CRESTWOOD,46,11,8,0
WARD 1,3140,CRESTWOOD,47,17,9,0
WARD 1,3140,CRESTWOOD,48,9,9,0
WARD 1,3140,CRESTWOOD,49,11,14,0
WARD 1,3140,CRESTWOOD,50,10,12,0
WARD 1,3140,CRESTWOOD,51,9,9,0
WARD 1,3140,CRESTWOOD,52,7,14,0
WARD 1,3140,CRESTWOOD,53,14,12,0
WARD 1,3140,CRESTWOOD,54,18,11,0
WARD 1,3140,CRESTWOOD,55,13,13,0
WARD 1,3140,CRESTWOOD,56,14,9,0
WARD 1,3140,CRESTWOOD,57,25,15,0
WARD 1,3140,CRESTWOOD,58,11,19,0
WARD 1,3140,CRESTWOOD,59,17,12,0
WARD 1,3140,CRESTWOOD,60,6,11,0
WARD 1,3140,CRESTWOOD,61,10,5,0
WARD 1,3140,CRESTWOOD,62,9,9,0
WARD 1,3140,CRESTWOOD,63,12,17,0
WARD 1,3140,CRESTWOOD,64,13,6,0
WARD 1,3140,CRESTWOOD,65,11,21,0
WARD 1,3140,CRESTWOOD,66,7,5,0
WARD 1,3140,CRESTWOOD,67,7,4,0
WARD 1,3140,CRESTWOOD,68,11,12,0
WARD 1,3140,CRESTWOOD,69,10,12,0
WARD 1,3140,CRESTWOOD,70,7,7,0
WARD 1,3140,CRESTWOOD,71,10,4,0
WARD 1,3140,CRESTWOOD,72,10,9,0
WARD 1,3140,CRESTWOOD,73,11,10,0
WARD 1,3140,CRESTWOOD,74,14,9,0
WARD 1,3140,CRESTWOOD,75,10,13,0
WARD 1,3140,CRESTWOOD,76,6,7,0
WARD 1,3140,CRESTWOOD,77,10,5,0
WARD 1,3140,CRESTWOOD,78,8,7,0
WARD 1,3140,CRESTWOOD,79,9,5,0
WARD 1,3140,CRESTWOOD,80,5,6,0
WARD 1,3140,CRESTWOOD,81,11,7,0
WARD 1,3140,CRESTWOOD,82,3,8,0
WARD 1,3140,CRESTWOOD,83,10,6,0
WARD 1,3140,CRESTWOOD,84,5,3,0
WARD 1,3140,CRESTWOOD,85+,27,22,0
WARD 1,3140,CRESTWOOD,No response,415,378,7
WARD 1,3330,PARKVIEW,0,7,7,0
WARD 1,3330,PARKVIEW,1,15,14,0
WARD 1,3330,PARKVIEW,2,11,15,0
WARD 1,3330,PARKVIEW,3,8,14,0
WARD 1,3330,PARKVIEW,4,16,19,0
WARD 1,3330,PARKVIEW,5,18,14,0
WARD 1,3330,PARKVIEW,6,11,19,0
WARD 1,3330,PARKVIEW,7,21,22,0
WARD 1,3330,PARKVIEW,8,21,7,0
WARD 1,3330,PARKVIEW,9,17,12,0
WARD 1,3330,PARKVIEW,10,11,18,0
WARD 1,3330,PARKVIEW,11,16,10,0
WARD 1,3330,PARKVIEW,12,15,12,0
WARD 1,3330,PARKVIEW,13,12,17,0
WARD 1,3330,PARKVIEW,14,12,15,0
WARD 1,3330,PARKVIEW,15,15,20,0
WARD 1,3330,PARKVIEW,16,15,22,0
WARD 1,3330,PARKVIEW,17,17,10,0
WARD 1,3330,PARKVIEW,18,14,18,0
WARD 1,3330,PARKVIEW,19,24,10,0
WARD 1,3330,PARKVIEW,20,21,15,0
WARD 1,3330,PARKVIEW,21,18,15,0
WARD 1,3330,PARKVIEW,22,18,17,0
WARD 1,3330,PARKVIEW,23,9,16,0
WARD 1,3330,PARKVIEW,24,12,14,0
WARD 1,3330,PARKVIEW,25,12,11,0
WARD 1,3330,PARKVIEW,26,5,17,0
WARD 1,3330,PARKVIEW,27,7,6,0
WARD 1,3330,PARKVIEW,28,3,12,0
WARD 1,3330,PARKVIEW,29,15,8,0
WARD 1,3330,PARKVIEW,30,6,7,0
WARD 1,3330,PARKVIEW,31,18,9,0
WARD 1,3330,PARKVIEW,32,18,14,0
WARD 1,3330,PARKVIEW,33,14,12,0
WARD 1,3330,PARKVIEW,34,17,13,0
WARD 1,3330,PARKVIEW,35,18,15,0
WARD 1,3330,PARKVIEW,36,13,12,0
WARD 1,3330,PARKVIEW,37,15,11,0
WARD 1,3330,PARKVIEW,38,17,15,0
WARD 1,3330,PARKVIEW,39,13,20,0
WARD 1,3330,PARKVIEW,40,20,21,0
WARD 1,3330,PARKVIEW,41,14,18,0
WARD 1,3330,PARKVIEW,42,19,13,0
WARD 1,3330,PARKVIEW,43,11,18,0
WARD 1,3330,PARKVIEW,44,17,13,0
WARD 1,3330,PARKVIEW,45,14,13,0
WARD 1,3330,PARKVIEW,46,19,19,0
WARD 1,3330,PARKVIEW,47,18,10,0
WARD 1,3330,PARKVIEW,48,21,11,0
WARD 1,3330,PARKVIEW,49,17,22,0
WARD 1,3330,PARKVIEW,50,14,19,0
WARD 1,3330,PARKVIEW,51,26,15,0
WARD 1,3330,PARKVIEW,52,26,29,0
WARD 1,3330,PARKVIEW,53,26,18,0
WARD 1,3330,PARKVIEW,54,25,20,0
WARD 1,3330,PARKVIEW,55,22,14,0
WARD 1,3330,PARKVIEW,56,30,30,0
WARD 1,3330,PARKVIEW,57,30,24,0
WARD 1,3330,PARKVIEW,58,16,25,0
WARD 1,3330,PARKVIEW,59,31,25,0
WARD 1,3330,PARKVIEW,60,26,22,0
WARD 1,3330,PARKVIEW,61,18,19,0
WARD 1,3330,PARKVIEW,62,22,26,0
WARD 1,3330,PARKVIEW,63,16,18,0
WARD 1,3330,PARKVIEW,64,9,21,0
WARD 1,3330,PARKVIEW,65,19,20,0
WARD 1,3330,PARKVIEW,66,15,11,0
WARD 1,3330,PARKVIEW,67,17,16,0
WARD 1,3330,PARKVIEW,68,15,9,0
WARD 1,3330,PARKVIEW,69,13,11,0
WARD 1,3330,PARKVIEW,70,8,11,0
WARD 1,3330,PARKVIEW,71,10,9,0
WARD 1,3330,PARKVIEW,72,10,7,0
WARD 1,3330,PARKVIEW,73,7,10,0
WARD 1,3330,PARKVIEW,74,7,10,0
WARD 1,3330,PARKVIEW,75,13,5,0
WARD 1,3330,PARKVIEW,76,11,11,0
WARD 1,3330,PARKVIEW,77,11,5,0
WARD 1,3330,PARKVIEW,78,11,9,0
WARD 1,3330,PARKVIEW,79,4,10,0
WARD 1,3330,PARKVIEW,80,11,3,0
WARD 1,3330,PARKVIEW,81,9,4,0
WARD 1,3330,PARKVIEW,82,12,8,0
WARD 1,3330,PARKVIEW,83,8,8,0
WARD 1,3330,PARKVIEW,84,9,10,0
WARD 1,3330,PARKVIEW,85+,40,24,0
WARD 1,3330,PARKVIEW,No response,354,351,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,1,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,2,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,3,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,4,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,5,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,6,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,7,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,8,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,9,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,10,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,11,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,12,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,13,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,14,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,15,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,16,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,17,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,18,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,19,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,20,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,21,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,22,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,23,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,24,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,25,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,26,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,27,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,28,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,29,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,30,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,31,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,32,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,33,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,34,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,35,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,36,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,37,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,38,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,39,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,40,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,41,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,42,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,43,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,44,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,45,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,46,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,47,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,48,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,49,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,50,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,51,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,52,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,53,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,54,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,55,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,56,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,57,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,58,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,59,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,60,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,61,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,62,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,63,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,64,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,65,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,66,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,67,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,68,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,69,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,70,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,71,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,72,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,73,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,74,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,75,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,76,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,77,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,78,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,79,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,80,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,81,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,82,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,83,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,84,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,85+,0,0,0
WARD 1,3380,RIVER VALLEY CAPITOL HILL,No response,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,1,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,2,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,3,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,4,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,5,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,6,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,7,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,8,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,9,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,10,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,11,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,12,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,13,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,14,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,15,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,16,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,17,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,18,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,19,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,20,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,21,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,22,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,23,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,24,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,25,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,26,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,27,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,28,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,29,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,30,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,31,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,32,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,33,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,34,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,35,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,36,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,37,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,38,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,39,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,40,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,41,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,42,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,43,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,44,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,45,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,46,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,47,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,48,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,49,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,50,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,51,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,52,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,53,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,54,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,55,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,56,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,57,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,58,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,59,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,60,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,61,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,62,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,63,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,64,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,65,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,66,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,67,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,68,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,69,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,70,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,71,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,72,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,73,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,74,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,75,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,76,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,77,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,78,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,79,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,80,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,81,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,82,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,83,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,84,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,85+,0,0,0
WARD 1,4010,ALBERTA PARK INDUSTRIAL,No response,0,0,0
WARD 1,4011,ANTHONY HENDAY,0,0,0,0
WARD 1,4011,ANTHONY HENDAY,1,0,0,0
WARD 1,4011,ANTHONY HENDAY,2,0,0,0
WARD 1,4011,ANTHONY HENDAY,3,0,0,0
WARD 1,4011,ANTHONY HENDAY,4,0,0,0
WARD 1,4011,ANTHONY HENDAY,5,0,0,0
WARD 1,4011,ANTHONY HENDAY,6,0,0,0
WARD 1,4011,ANTHONY HENDAY,7,0,0,0
WARD 1,4011,ANTHONY HENDAY,8,0,0,0
WARD 1,4011,ANTHONY HENDAY,9,0,0,0
WARD 1,4011,ANTHONY HENDAY,10,0,0,0
WARD 1,4011,ANTHONY HENDAY,11,0,0,0
WARD 1,4011,ANTHONY HENDAY,12,0,0,0
WARD 1,4011,ANTHONY HENDAY,13,0,0,0
WARD 1,4011,ANTHONY HENDAY,14,0,0,0
WARD 1,4011,ANTHONY HENDAY,15,0,0,0
WARD 1,4011,ANTHONY HENDAY,16,0,0,0
WARD 1,4011,ANTHONY HENDAY,17,0,0,0
WARD 1,4011,ANTHONY HENDAY,18,0,0,0
WARD 1,4011,ANTHONY HENDAY,19,0,0,0
WARD 1,4011,ANTHONY HENDAY,20,0,0,0
WARD 1,4011,ANTHONY HENDAY,21,0,0,0
WARD 1,4011,ANTHONY HENDAY,22,0,0,0
WARD 1,4011,ANTHONY HENDAY,23,0,0,0
WARD 1,4011,ANTHONY HENDAY,24,0,0,0
WARD 1,4011,ANTHONY HENDAY,25,0,0,0
WARD 1,4011,ANTHONY HENDAY,26,0,0,0
WARD 1,4011,ANTHONY HENDAY,27,0,0,0
WARD 1,4011,ANTHONY HENDAY,28,0,0,0
WARD 1,4011,ANTHONY HENDAY,29,0,0,0
WARD 1,4011,ANTHONY HENDAY,30,0,0,0
WARD 1,4011,ANTHONY HENDAY,31,0,0,0
WARD 1,4011,ANTHONY HENDAY,32,0,0,0
WARD 1,4011,ANTHONY HENDAY,33,0,0,0
WARD 1,4011,ANTHONY HENDAY,34,0,0,0
WARD 1,4011,ANTHONY HENDAY,35,0,0,0
WARD 1,4011,ANTHONY HENDAY,36,0,0,0
WARD 1,4011,ANTHONY HENDAY,37,0,0,0
WARD 1,4011,ANTHONY HENDAY,38,0,0,0
WARD 1,4011,ANTHONY HENDAY,39,0,0,0
WARD 1,4011,ANTHONY HENDAY,40,0,0,0
WARD 1,4011,ANTHONY HENDAY,41,0,0,0
WARD 1,4011,ANTHONY HENDAY,42,0,0,0
WARD 1,4011,ANTHONY HENDAY,43,0,0,0
WARD 1,4011,ANTHONY HENDAY,44,0,0,0
WARD 1,4011,ANTHONY HENDAY,45,0,0,0
WARD 1,4011,ANTHONY HENDAY,46,0,0,0
WARD 1,4011,ANTHONY HENDAY,47,0,0,0
WARD 1,4011,ANTHONY HENDAY,48,0,0,0
WARD 1,4011,ANTHONY HENDAY,49,0,0,0
WARD 1,4011,ANTHONY HENDAY,50,0,0,0
WARD 1,4011,ANTHONY HENDAY,51,0,0,0
WARD 1,4011,ANTHONY HENDAY,52,0,0,0
WARD 1,4011,ANTHONY HENDAY,53,0,0,0
WARD 1,4011,ANTHONY HENDAY,54,0,0,0
WARD 1,4011,ANTHONY HENDAY,55,0,0,0
WARD 1,4011,ANTHONY HENDAY,56,0,0,0
WARD 1,4011,ANTHONY HENDAY,57,0,0,0
WARD 1,4011,ANTHONY HENDAY,58,0,0,0
WARD 1,4011,ANTHONY HENDAY,59,0,0,0
WARD 1,4011,ANTHONY HENDAY,60,0,0,0
WARD 1,4011,ANTHONY HENDAY,61,0,0,0
WARD 1,4011,ANTHONY HENDAY,62,0,0,0
WARD 1,4011,ANTHONY HENDAY,63,0,0,0
WARD 1,4011,ANTHONY HENDAY,64,0,0,0
WARD 1,4011,ANTHONY HENDAY,65,0,0,0
WARD 1,4011,ANTHONY HENDAY,66,0,0,0
WARD 1,4011,ANTHONY HENDAY,67,0,0,0
WARD 1,4011,ANTHONY HENDAY,68,0,0,0
WARD 1,4011,ANTHONY HENDAY,69,0,0,0
WARD 1,4011,ANTHONY HENDAY,70,0,0,0
WARD 1,4011,ANTHONY HENDAY,71,0,0,0
WARD 1,4011,ANTHONY HENDAY,72,0,0,0
WARD 1,4011,ANTHONY HENDAY,73,0,0,0
WARD 1,4011,ANTHONY HENDAY,74,0,0,0
WARD 1,4011,ANTHONY HENDAY,75,0,0,0
WARD 1,4011,ANTHONY HENDAY,76,0,0,0
WARD 1,4011,ANTHONY HENDAY,77,0,0,0
WARD 1,4011,ANTHONY HENDAY,78,0,0,0
WARD 1,4011,ANTHONY HENDAY,79,0,0,0
WARD 1,4011,ANTHONY HENDAY,80,0,0,0
WARD 1,4011,ANTHONY HENDAY,81,0,0,0
WARD 1,4011,ANTHONY HENDAY,82,0,0,0
WARD 1,4011,ANTHONY HENDAY,83,0,0,0
WARD 1,4011,ANTHONY HENDAY,84,0,0,0
WARD 1,4011,ANTHONY HENDAY,85+,0,0,0
WARD 1,4011,ANTHONY HENDAY,No response,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,1,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,2,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,3,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,4,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,5,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,6,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,7,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,8,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,9,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,10,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,11,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,12,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,13,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,14,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,15,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,16,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,17,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,18,0,0,0
WARD 1,4018,ANTHONY HENDAY BIG LAKE,19,0,0,0
